"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Germany","DEU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14847000","15205000","15837000","16511000","17116000","18983000","17861000","17969000","18399000","20137000","21500000","23569000","24421000","24884000","24220000","26875000","28374000","30411000","31545000","32999000","34970000","35555000","37452000","38881000","39563000","",
"Djibouti","DJI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000","20000","20000","21000","21000","20100.0003814697","21600.0003814697","22500","23200.0007629395","26299.9992370605","30200.0007629395","39500","40000","54000","58000","51000","56000","60000","63000","","","","","","","",
"Dominica","DMA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203000","261000","299000","312000","280000","312000","276000","208000","254000","466000","381000","465000","437000","468000","608000","595000","418000","348000","311000","370000","358000","356000","230000","199000","322000","",
"Denmark","DNK","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21119000","22054000","26927000","26936000","27138000","26870000","26571000","26730000","25811000","26402000","26516000","28070000","28209000","28692000","30736000","30801000","32903000","",
"Dominican Republic","DOM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1806000","2037000","2482000","2702000","2932000","3161000","3090000","3058000","3680000","3907000","3981000","4268000","4365000","4455000","4489000","4478000","4654000","4901000","5114000","5576000","6129000","6769000","7296000","7551000","7550000","",
"Algeria","DZA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520000","605000","635000","678000","749000","866000","901000","988000","1166000","1234000","1443000","1638000","1743000","1772000","1912000","2070000","2395000","2634000","2733000","2301000","1710000","2039000","2451000","2657000","2371000","",
"East Asia & Pacific (excluding high income)","EAP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70697194.3544403","77176028.0909463","83299555.2255269","88459891.2700924","101742796.66286","116421087.842081","125476068.100204","136515477.982494","125730115.648921","152757065.072343","165979606.966181","174755561.953561","188426346.776098","188955620.322764","186407888.833494","200147994.215124","208104879.671003","211812934.935693","217359645.697795","219559756.918261","232431016.335594","246180646.431049","267153312.47725","281199029.452992","292914980.541575","",
"Early-demographic dividend","EAR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163202805.603997","170263612.534375","174864014.907412","177703744.556564","181005514.432148","190532159.652663","184896885.284265","190886934.722572","186159242.792848","208858479.29138","220351005.237344","222512638.285161","237447686.582469","253965565.947692","245231108.208586","260218031.214228","251178035.987064","266770386.702611","276291315.740777","298030473.740635","305091375.489381","301876958.468592","326787964.841898","350576700.187856","369336988.869679","",
"East Asia & Pacific","EAS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113102969.67166","124058070.541417","127928324.66848","130459929.998942","147483728.113753","168432327.30898","178985720.863481","195104065.848347","180620903.539379","224882086.673534","243948760.30826","259738033.678776","283650880.803466","281774082.132289","277214276.792986","307340770.927606","325108334.864517","342226043.572655","360414450.438963","378699335.732179","396249901.167413","418805639.100988","446066533.181698","476456920.292366","487076537.178296","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41219017.2640522","47886987.951746","60678485.2939913","53911789.6642822","53541118.3391733","61104641.7460662","63686403.6501803","69701607.1680088","73473948.5698835","83721904.6875778","92431545.2741669","95613246.9595231","113431388.4594","123796656.437888","115145886.647029","118984455.907397","132384348.758792","142028080.01218","150934822.244082","140716577.327928","142635861.958112","133985702.592829","149327771.091731","168938759.976666","180724280.37354","",
